,country.value,date,value,country,year,consumption
304,Nigeria,2017,-3.424310268,Nigeria,2017,-3.424310268
305,Nigeria,2016,-8.063983285,Nigeria,2016,-8.063983285
306,Nigeria,2015,-1.092358263,Nigeria,2015,-1.092358263
307,Nigeria,2014,-1.996107118,Nigeria,2014,-1.996107118
308,Nigeria,2013,17.84294407,Nigeria,2013,17.84294407
309,Nigeria,2012,-2.706333349,Nigeria,2012,-2.706333349
310,Nigeria,2011,-5.699079083,Nigeria,2011,-5.699079083
311,Nigeria,2010,-1.014335156,Nigeria,2010,-1.014335156
312,Nigeria,2009,18.9924755,Nigeria,2009,18.9924755
313,Nigeria,2008,-18.2324513,Nigeria,2008,-18.2324513
314,Nigeria,2007,30.98567201,Nigeria,2007,30.98567201
315,Nigeria,2006,-16.0119785,Nigeria,2006,-16.0119785
316,Nigeria,2005,9.756013209,Nigeria,2005,9.756013209
317,Nigeria,2004,-2.438707729,Nigeria,2004,-2.438707729
318,Nigeria,2003,7.824891988,Nigeria,2003,7.824891988
319,Nigeria,2002,12.17099471,Nigeria,2002,12.17099471
320,Nigeria,2001,55.21724797,Nigeria,2001,55.21724797
321,Nigeria,2000,-0.846183349,Nigeria,2000,-0.846183349
322,Nigeria,1999,-10.83507446,Nigeria,1999,-10.83507446
323,Nigeria,1998,-2.80979176,Nigeria,1998,-2.80979176
324,Nigeria,1997,-5.652731504,Nigeria,1997,-5.652731504
325,Nigeria,1996,16.98928274,Nigeria,1996,16.98928274
326,Nigeria,1995,2.308778041,Nigeria,1995,2.308778041
327,Nigeria,1994,-12.14383247,Nigeria,1994,-12.14383247
328,Nigeria,1993,-10.55949471,Nigeria,1993,-10.55949471
329,Nigeria,1992,14.01381352,Nigeria,1992,14.01381352
330,Nigeria,1991,3.228902442,Nigeria,1991,3.228902442
331,Nigeria,1990,20.60634728,Nigeria,1990,20.60634728
332,Nigeria,1989,-9.989476727,Nigeria,1989,-9.989476727
333,Nigeria,1988,4.247969947,Nigeria,1988,4.247969947
334,Nigeria,1987,-7.995665336,Nigeria,1987,-7.995665336
335,Nigeria,1986,-11.6950563,Nigeria,1986,-11.6950563
336,Nigeria,1985,19.49081749,Nigeria,1985,19.49081749
337,Nigeria,1984,3.383599142,Nigeria,1984,3.383599142
338,Nigeria,1983,-24.79930038,Nigeria,1983,-24.79930038
339,Nigeria,1982,-14.19995344,Nigeria,1982,-14.19995344
350,Ireland,2021,3.698003089,Ireland,2021,3.698003089
351,Ireland,2020,-12.76042929,Ireland,2020,-12.76042929
352,Ireland,2019,1.132288735,Ireland,2019,1.132288735
353,Ireland,2018,2.452490686,Ireland,2018,2.452490686
354,Ireland,2017,1.219825992,Ireland,2017,1.219825992
355,Ireland,2016,3.437036706,Ireland,2016,3.437036706
356,Ireland,2015,2.17861707,Ireland,2015,2.17861707
357,Ireland,2014,1.960710978,Ireland,2014,1.960710978
358,Ireland,2013,-0.186260404,Ireland,2013,-0.186260404
359,Ireland,2012,-1.091540807,Ireland,2012,-1.091540807
360,Ireland,2011,-1.779089411,Ireland,2011,-1.779089411
361,Ireland,2010,-0.242923327,Ireland,2010,-0.242923327
362,Ireland,2009,-6.280608201,Ireland,2009,-6.280608201
363,Ireland,2008,-1.830822322,Ireland,2008,-1.830822322
364,Ireland,2007,3.634775172,Ireland,2007,3.634775172
365,Ireland,2006,3.557354733,Ireland,2006,3.557354733
366,Ireland,2005,4.717002316,Ireland,2005,4.717002316
367,Ireland,2004,1.936554064,Ireland,2004,1.936554064
368,Ireland,2003,1.130935801,Ireland,2003,1.130935801
369,Ireland,2002,1.904099073,Ireland,2002,1.904099073
370,Ireland,2001,3.079987879,Ireland,2001,3.079987879
371,Ireland,2000,8.933941616,Ireland,2000,8.933941616
372,Ireland,1999,8.257401249,Ireland,1999,8.257401249
373,Ireland,1998,6.81658279,Ireland,1998,6.81658279
374,Ireland,1997,5.807642813,Ireland,1997,5.807642813
375,Ireland,1996,6.026215768,Ireland,1996,6.026215768
376,Ireland,1995,2.917702207,Ireland,1995,2.917702207
377,Ireland,1994,3.953431743,Ireland,1994,3.953431743
